reward,loss,success_rate,eps
187723.579318285,0.001974312616640126,0.3881631302699464,0.801697976119403
218950.81412112713,0.0022731027976949343,0.4529389498406908,0.6033953611940299
249990.27815163136,0.002278034885500874,0.517044150564363,0.40509274626865666
282064.19176614285,0.0022578995662908344,0.5831850520549252,0.2067901313432836
314172.2731055021,0.002207626119649626,0.6498803317924002,0.010000000000000009
329176.8402591944,0.002251091811059583,0.6814798918664365,0.010000000000000009
329349.97088992596,0.0022683169559175806,0.6816915093692905,0.010000000000000009
329725.9188091755,0.002213982472985427,0.6823859724420361,0.010000000000000009
328803.67558693886,0.0026496044900737887,0.6805261228394897,0.010000000000000009
325702.73294842243,0.004146333543844078,0.6742550914873133,0.010000000000000009
324078.17519044876,0.005048274076860214,0.6709079583083714,0.010000000000000009
329158.6930909157,0.0024751696435563538,0.6813129822867209,0.010000000000000009
